,avgTotalVolume,calculationPrice,change,changePercent,close,closeTime,companyName,delayedPrice,delayedPriceTime,extendedChange,extendedChangePercent,extendedPrice,extendedPriceTime,high,iexAskPrice,iexAskSize,iexBidPrice,iexBidSize,iexLastUpdated,iexMarketPercent,iexRealtimePrice,iexRealtimeSize,iexVolume,isUSMarketOpen,lastTradeTime,latestPrice,latestSource,latestTime,latestUpdate,latestVolume,low,marketCap,open,openTime,peRatio,previousClose,previousVolume,primaryExchange,symbol,volume,week52High,week52Low,ytdChange
742,3189165,close,0,0,,,"Worldpay, Inc.",,,0,0,135,1564521037579,,,,,,,,,,,False,1564516866338,135,Close,"July 31, 2019",1564603200000,0,,42035999490,,,140.92,135,,New York Stock Exchange,WP,0,138.22,70.41,0
743,7059297,close,0.28,0.00866,32.61,1572638400360,The Kraft Heinz Co.,32.61,1572638400192,0.01,0.00031,32.62,1572652721894,33.38,,,,,,,,,,False,1572638400192,32.61,Close,"November 1, 2019",1572638400360,14980855,32.12,39783873900,32.31,1572615000725,-3.66,32.33,38732497,NASDAQ,KHC,14980855,54.87,24.86,-0.238917
744,644273,close,1.19,0.01012,118.83,1572638587966,"Molina Healthcare, Inc.",118.83,1572639000002,0,0,118.83,1572647400002,123.29,,,,,,,,,,False,1572638399982,118.83,Close,"November 1, 2019",1572638587966,726329,118.13,7450641000,118.95,1572615000444,9.58,117.64,995727,New York Stock Exchange,MOH,726329,159,105.28,0.062738
745,3599458,close,0,0,23.27,1572638400642,Cypress Semiconductor Corp.,23.27,1572638400598,0,0,23.27,1572642000034,23.35,,,,,,,,,,False,1572638400598,23.27,Close,"November 1, 2019",1572638400642,4241756,23.26,8593960050,23.26,1572615000809,29.37,23.27,2264655,NASDAQ,CY,4241756,23.5,11.86,0.809487
746,1152531,close,2.69,0.0402,69.6,1572638400608,"PTC, Inc.",69.6,1572638400387,0,0,69.6,1572642000096,69.64,,,,,,,,,,False,1572638400387,69.6,Close,"November 1, 2019",1572638400608,958705,67.235,8016458400,67.35,1572615000797,-300.52,66.91,851240,NASDAQ,PTC,958705,102.47,62.05,-0.110191
747,364472,close,0.96,0.01585,61.51,1572638400640,"RealPage, Inc.",61.51,1572638400579,0,0,61.51,1572645924397,61.85,,,,,,,,,,False,1572638400579,61.51,Close,"November 1, 2019",1572638400640,295509,60.35,5828626090,60.84,1572615000780,135.16,60.55,288510,NASDAQ,RP,295509,65.92,42.9,0.316548
748,270447,close,2.26,0.00879,259.35,1572638520487,Everest Re Group Ltd.,259.35,1572639000003,0,0,259.35,1572647400007,259.74,,,,,,,,,,False,1572638399982,259.35,Close,"November 1, 2019",1572638520487,222778,257.31,10576552350,257.67,1572615000478,25.31,257.09,263852,New York Stock Exchange,RE,222778,268.95,201.09,0.222634
749,1715010,close,-0.28,-0.00719,38.65,1572638520483,"Dick's Sporting Goods, Inc.",38.65,1572639000006,-0.26,-0.00673,38.39,1572647579947,39.33,,,,,,,,,,False,1572638399993,38.65,Close,"November 1, 2019",1572638520483,1779799,38.23,3493137644,39.14,1572615000455,11.45,38.93,1637566,New York Stock Exchange,DKS,1779799,41.53,29.69,0.209366
750,1580985,sip,,,,,Aspen Insurance Holdings Limited,,,0,0,42.74,1550268503717,,,,,,,,,,,False,,42.74,15 minute delayed price,9:30:05 AM,1550154605416,0,,2558544620,,,,,,New York Stock Exchange,AHL,0,46.1,34.8,0
751,2298266,close,-0.05,-0.00273,18.29,1572638429445,Olin Corp.,18.29,1572639000003,0,0,18.29,1572647400009,19.18,,,,,,,,,,False,1572638429443,18.29,Close,"November 1, 2019",1572638429445,5476863,17.87,3005010420,18.5,1572615010616,25.22,18.34,3198308,New York Stock Exchange,OLN,5476863,27.32,15.38,-0.11830099999999999
752,562673,close,0.5,0.01458,34.8,1572638520464,"BankUnited, Inc.",34.8,1572639000009,0,0,34.8,1572647400008,34.88,,,,,,,,,,False,1572638399387,34.8,Close,"November 1, 2019",1572638520464,451010,34.409,3308436000,34.61,1572615000364,12.71,34.3,530479,New York Stock Exchange,BKU,451010,37.32,28.05,0.15298
753,623127,close,0.28,0.00252,111.31,1572638578435,"Genesee & Wyoming, Inc.",111.31,1572639000004,0,0,111.31,1572647400004,111.34,,,,,,,,,,False,1572638399934,111.31,Close,"November 1, 2019",1572638578435,317828,111.09,6343155294,111.17,1572615000443,29.85,111.03,466403,New York Stock Exchange,GWR,317828,111.43,68.27,0.508745
754,664012,close,1.27,0.03433,38.26,1572638400781,PacWest Bancorp,38.26,1572638400781,0,0,38.26,1572642000205,38.28,,,,,,,,,,False,1572638400781,38.26,Close,"November 1, 2019",1572638400781,681273,37.2,4584734060,37.31,1572615000407,9.95,36.99,503089,NASDAQ,PACW,681273,42.37,31.16,0.176761
755,1857621,close,0.95,0.02191,44.3,1572638483268,Athene Holding Ltd.,44.075,1572639000006,0,0,44.3,1572647400006,44.36,,,,,,,,,,False,1572638399929,44.3,Close,"November 1, 2019",1572638483268,1570585,43.43,8263234700,43.6,1572615000423,4.37,43.35,1521698,New York Stock Exchange,ATH,1570585,47.77,36,0.11491
