NAME,JUST_IND,WEIGHTED_SCORE,RANK,IND_RANK,COMM,CUST,ENV,JOBS,LEAD,PROD,WORKER
UDR Inc,Real Estate,47.62,582,21,38.57,48.62,48.48,43.42,51.71,52.84,48.04
Bio-Rad Laboratories,Health Care Equipment & Services,47.62,583,24,42.82,51.45,54.33,45.09,31.46,64.0,40.42
Paccar,Commercial Vehicles & Machinery,47.62,584,15,45.16,49.83,53.59,45.62,53.3,52.84,40.04
Jetblue Airways,Transportation,47.58,585,17,47.21,57.07,43.97,50.95,58.1,52.84,34.62
Western Alliance Bancorp,Banks,47.56,586,30,40.22,49.94,53.63,47.37,47.29,52.84,42.96
Amphenol,Industrial Goods,47.56,587,27,46.87,48.21,52.38,47.56,49.89,52.84,41.0
CNX Resources,Oil & Gas,47.54,588,34,54.77,49.78,15.87,38.45,39.22,56.56,61.21
Assurant,Insurance,47.54,589,27,54.56,35.87,49.23,46.48,54.1,52.84,47.19
Agco Corp,Commercial Vehicles & Machinery,47.51,590,16,49.65,45.38,47.35,43.01,56.96,52.84,44.15
Carlisle Cos,Industrial Goods,47.5,591,28,38.89,52.26,46.25,46.34,48.64,52.84,45.55
Donaldson,Commercial Vehicles & Machinery,47.5,592,17,51.29,49.02,50.8,44.29,55.83,52.84,38.75
Crown Holdings,Building Materials & Packaging,47.48,593,15,41.57,49.83,43.1,46.18,55.32,52.84,45.55
Aramark,Restaurants & Leisure,47.45,594,14,56.09,43.76,49.78,65.97,46.25,52.84,33.24
Teleflex,Health Care Equipment & Services,47.45,595,25,59.23,41.14,51.84,45.84,48.04,39.45,49.89
AMC Networks,Media,47.43,596,14,38.57,52.26,47.47,46.24,39.66,52.84,47.77
Edison International,Utilities,47.42,597,32,51.22,45.38,44.01,43.35,56.14,56.56,42.76
Whiting Petroleum,Oil & Gas,47.39,598,35,41.32,49.83,37.58,42.84,34.92,56.56,54.36
FLIR Systems,Aerospace & Defense,47.39,599,12,43.86,51.85,45.63,44.73,46.94,49.12,47.08
Cognex,Industrial Goods,47.38,600,29,42.09,50.61,45.65,49.57,47.33,52.84,44.0
Macy's,Retail,47.38,601,17,56.06,53.99,53.48,58.65,58.37,40.57,30.58
First American Financial Group,Insurance,47.38,602,28,38.57,50.64,47.45,46.99,53.36,52.84,43.84
