NAME,JUST_IND,WEIGHTED_SCORE,RANK,IND_RANK,COMM,CUST,ENV,JOBS,LEAD,PROD,WORKER
Axalta Coating Systems,Chemicals,44.48,779,24,41.48,44.16,50.06,44.79,42.06,49.12,41.04
Mercury General Corp,Insurance,44.46,780,38,38.57,49.02,47.48,43.71,45.85,52.84,37.17
nVent Electric,Industrial Goods,44.42,781,35,39.68,50.61,33.59,44.24,36.59,52.84,45.42
Cubesmart,Real Estate,44.4,782,29,39.67,48.62,46.11,51.24,56.19,52.84,30.34
Bright Horizons,Retail,44.36,783,31,38.57,46.19,48.22,48.58,54.74,52.84,33.07
GrafTech International,Industrial Goods,44.36,784,36,42.71,50.61,33.59,36.93,34.5,52.84,48.13
Williams Sonoma,Retail,44.35,785,32,51.68,63.8,51.81,47.82,58.33,32.38,24.11
Berry Global Group,Building Materials & Packaging,44.32,786,20,54.96,47.0,47.28,47.67,46.61,52.84,28.86
FNF Group,Consumer & Diversified Finance,44.32,787,18,38.57,49.02,48.29,47.22,47.99,52.84,33.72
Prosperity Bancshares,Banks,44.23,788,43,47.57,35.87,53.58,47.18,36.96,52.84,39.77
Apergy Corporation,Energy Equipment & Services,44.21,789,11,41.03,48.73,27.63,41.99,42.25,52.84,47.66
Wesco International,Industrial Goods,44.2,790,37,45.03,45.38,50.1,45.11,49.64,52.84,32.61
Western Union,Consumer & Diversified Finance,44.15,791,19,34.22,23.27,51.85,46.03,39.18,52.84,54.96
OGE Energy,Energy Equipment & Services,44.14,792,12,45.17,45.78,22.73,43.4,54.88,52.84,45.36
Acadia Healthcare,Health Care Providers,44.11,793,16,38.57,36.28,49.78,58.37,45.78,67.72,27.71
Seaboard Corp,Food,44.06,794,25,40.22,47.0,38.06,44.94,39.46,56.56,40.47
Old Republic International,Insurance,44.05,795,39,38.57,52.66,47.48,45.96,47.04,52.84,31.41
SS&C Technologies,Software,43.98,796,42,38.57,50.39,51.84,50.58,43.18,52.84,29.45
Crane Co,Commercial Vehicles & Machinery,43.96,797,24,37.48,51.85,46.17,44.27,54.65,52.84,31.09
Valmont Industries,Building Materials & Packaging,43.93,798,21,44.01,49.83,44.29,45.87,47.87,52.84,32.0
LionsGate Entertainment,Media,43.91,799,24,38.57,47.4,47.49,44.69,37.97,52.84,38.19
ADT Inc,Commercial Support Services,43.9,800,33,43.32,51.45,34.19,47.23,33.84,52.84,40.22
Foot Locker,Retail,43.88,801,33,44.25,58.13,47.34,49.71,58.04,52.84,18.95
Ametek,Industrial Goods,Bottom 10%,Bottom 10%,40,39.03,47.0,24.32,45.95,55.75,52.84,35.76
American National Insurance,Insurance,Bottom 10%,Bottom 10%,43,43.88,36.68,47.48,48.97,27.87,52.84,39.62
Armstrong World Industries,Building Materials & Packaging,Bottom 10%,Bottom 10%,23,42.41,47.0,39.81,45.79,53.56,52.84,32.0
Axis Capital,Insurance,Bottom 10%,Bottom 10%,41,41.32,39.92,47.49,45.49,26.09,52.84,41.51
Acuity Brands,Building Materials & Packaging,Bottom 10%,Bottom 10%,26,42.04,53.47,43.8,44.5,52.17,28.29,38.06
Aspen Technology,Software,Bottom 10%,Bottom 10%,43,38.57,40.33,51.83,44.66,63.85,52.84,31.7
BGC Partners,Capital Markets,Bottom 10%,Bottom 10%,32,46.68,42.96,50.96,45.18,44.71,52.84,30.21
Black Knight,Real Estate,Bottom 10%,Bottom 10%,30,40.22,39.53,49.04,45.43,38.06,52.84,40.34
Bruker Corp,Health Care Equipment & Services,Bottom 10%,Bottom 10%,31,39.08,43.35,54.42,43.11,23.43,64.0,31.95
Brown & Brown,Insurance,Bottom 10%,Bottom 10%,40,38.57,52.66,47.44,47.8,46.4,52.84,26.25
The Chemours Company,Chemicals,Bottom 10%,Bottom 10%,25,31.14,51.85,-1.17,44.18,46.82,49.12,42.91
Colfax,Commercial Vehicles & Machinery,Bottom 10%,Bottom 10%,26,44.31,49.02,46.4,42.43,56.49,52.84,24.62
Chemed Corporation,Retail,Bottom 10%,Bottom 10%,40,38.57,47.89,50.07,46.19,34.78,52.84,30.21
Clean Harbors,Commercial Support Services,Bottom 10%,Bottom 10%,38,42.21,47.0,22.27,45.0,52.85,52.84,30.67
Chipotle Mexican Grill,Restaurants & Leisure,Bottom 10%,Bottom 10%,30,53.76,55.3,59.85,60.78,29.02,30.83,22.18
Cinemark Holdings,Restaurants & Leisure,Bottom 10%,Bottom 10%,29,38.57,53.47,48.16,48.24,50.75,49.12,25.31
Coty Inc,Personal Products,Bottom 10%,Bottom 10%,9,48.32,47.81,42.03,45.43,48.09,49.12,32.26
Copart,Retail,Bottom 10%,Bottom 10%,37,39.48,52.26,45.46,50.25,45.9,52.84,26.65
Cintas Corp,Commercial Support Services,Bottom 10%,Bottom 10%,36,44.85,47.4,46.45,49.78,43.22,52.84,24.3
Dollar General,Retail,Bottom 10%,Bottom 10%,39,31.64,59.34,49.17,64.61,59.94,44.66,13.06
Dish Network,Media,Bottom 10%,Bottom 10%,25,44.22,28.37,47.44,42.1,39.73,52.84,33.93
Dollar Tree,Retail,Bottom 10%,Bottom 10%,42,46.61,60.96,48.31,70.31,43.58,44.66,6.8
Dunkin Brands,Restaurants & Leisure,Bottom 10%,Bottom 10%,24,68.14,61.87,51.87,44.27,39.16,18.55,31.63
Dominos Pizza,Restaurants & Leisure,Bottom 10%,Bottom 10%,32,47.84,54.69,48.22,49.4,44.63,30.83,26.26
Equifax,Consumer & Diversified Finance,Bottom 10%,Bottom 10%,20,45.91,15.73,45.66,45.94,52.97,52.84,50.58
Equity Lifestyle Properties,Real Estate,Bottom 10%,Bottom 10%,34,38.57,48.62,47.62,45.56,49.75,52.84,26.21
East West Bancorp,Banks,Bottom 10%,Bottom 10%,45,41.87,44.16,53.63,46.9,49.54,52.84,29.17
Eagle Materials,Building Materials & Packaging,Bottom 10%,Bottom 10%,28,38.57,43.35,19.76,46.07,51.99,52.84,27.59
Flowers Foods,Food,Bottom 10%,Bottom 10%,30,51.66,43.35,46.09,45.05,41.37,52.47,15.62
Fleetcor Technologies,Commercial Support Services,Bottom 10%,Bottom 10%,39,38.57,36.28,51.87,47.15,45.77,52.84,25.02
Floor & Decor Holdings,Building Materials & Packaging,Bottom 10%,Bottom 10%,22,42.37,50.74,34.2,57.24,36.58,52.84,34.71
WR Grace,Chemicals,Bottom 10%,Bottom 10%,26,43.12,49.43,0.38,43.5,43.22,49.12,38.86
Hain Celestial Group,Food,Bottom 10%,Bottom 10%,27,48.37,48.62,40.73,46.53,38.33,56.56,27.0
HD Supply,Commercial Support Services,Bottom 10%,Bottom 10%,37,39.78,45.78,45.64,44.05,68.24,28.29,30.28
Herbalife Nutrition,Food,Bottom 10%,Bottom 10%,29,38.57,29.79,42.06,49.09,29.49,48.38,38.98
ICU Medical,Health Care Equipment & Services,Bottom 10%,Bottom 10%,32,30.45,35.06,50.09,44.68,29.52,55.82,38.85
Invitation Homes,Real Estate,Bottom 10%,Bottom 10%,35,36.92,48.62,33.57,42.34,36.8,52.84,32.88
Kirby Corp,Transportation,Bottom 10%,Bottom 10%,25,24.86,47.4,15.12,42.73,37.02,52.84,44.9
Knight-Swift Transportation,Transportation,Bottom 10%,Bottom 10%,24,43.52,53.47,41.56,47.05,46.66,52.84,25.33
Michael Kors,Household Goods & Apparel,Bottom 10%,Bottom 10%,36,41.57,54.2,28.01,46.95,40.98,45.4,29.75
Leggett & Platt,Household Goods & Apparel,Bottom 10%,Bottom 10%,33,44.47,52.26,48.07,45.25,44.4,28.06,39.61
LKQ Corp,Automobiles & Parts,Bottom 10%,Bottom 10%,14,39.9,50.64,49.06,49.43,41.52,52.84,29.14
Life Storage,Real Estate,Bottom 10%,Bottom 10%,32,38.57,47.0,42.41,48.19,51.72,52.84,28.38
McDonalds,Restaurants & Leisure,Bottom 10%,Bottom 10%,25,40.08,56.31,51.16,57.22,63.19,20.05,32.61
Middleby Corp,Household Goods & Apparel,Bottom 10%,Bottom 10%,35,39.0,43.35,42.93,48.05,53.47,35.73,34.78
Michaels Cos,Retail,Bottom 10%,Bottom 10%,44,37.43,50.64,50.93,50.35,50.84,33.13,19.37
Monster Beverage,Food,Bottom 10%,Bottom 10%,26,42.21,50.64,38.96,45.77,40.97,30.83,44.75
Madison Square Garden,Restaurants & Leisure,Bottom 10%,Bottom 10%,27,38.57,55.45,47.4,47.17,35.37,49.12,32.36
Nabors Industries,Energy Equipment & Services,Bottom 10%,Bottom 10%,15,37.54,52.26,43.35,41.92,24.26,52.84,31.07
Nu Skin Enterprises,Personal Products,Bottom 10%,Bottom 10%,8,35.66,47.0,41.94,44.9,43.43,40.94,47.45
New York Community Bancorp,Banks,Bottom 10%,Bottom 10%,47,41.87,46.59,53.63,43.18,38.21,52.84,28.03
Outfront Media,Real Estate,Bottom 10%,Bottom 10%,33,40.39,43.76,46.06,43.55,51.19,52.84,30.4
Platform Specialty Products,Chemicals,Bottom 10%,Bottom 10%,27,43.14,50.49,37.64,43.8,20.57,52.84,21.22
Peoples United Financial,Banks,Bottom 10%,Bottom 10%,46,44.67,46.19,53.62,44.0,40.84,52.84,29.54
Polaris Industries,Household Goods & Apparel,Bottom 10%,Bottom 10%,32,50.22,52.66,49.16,46.78,49.39,5.73,49.5
Packaging Corp Of America,Building Materials & Packaging,Bottom 10%,Bottom 10%,25,45.13,48.21,32.31,45.72,44.43,52.84,34.34
Pilgrims Pride Corp,Food,Bottom 10%,Bottom 10%,31,58.66,52.26,42.6,46.95,23.6,23.3,19.51
Public Storage,Real Estate,Bottom 10%,Bottom 10%,31,38.57,48.62,47.85,45.59,38.42,52.84,32.15
Quanta Services,Industrial Goods,Bottom 10%,Bottom 10%,38,39.88,51.04,43.02,48.44,51.05,52.84,29.94
Transocean,Energy Equipment & Services,Bottom 10%,Bottom 10%,14,45.21,44.97,23.72,40.62,18.46,52.84,51.25
Rollins,Retail,Bottom 10%,Bottom 10%,34,38.57,50.23,47.43,47.83,46.95,52.84,31.57
Ross Stores,Retail,Bottom 10%,Bottom 10%,38,47.19,52.26,49.11,58.89,42.59,44.66,20.63
Echostar,Technology Hardware,Bottom 10%,Bottom 10%,17,48.22,50.23,46.53,43.22,29.24,52.84,31.86
Service Corp International,Retail,Bottom 10%,Bottom 10%,36,38.57,49.02,47.83,46.59,55.0,52.84,26.95
ServiceMaster Global,Retail,Bottom 10%,Bottom 10%,35,42.31,47.0,41.29,45.48,54.59,52.84,32.56
Sprouts Farmer's Market,Food & Drug Retailers,Bottom 10%,Bottom 10%,9,28.85,55.5,42.89,56.42,48.27,56.56,26.49
Six Flags Entertainment,Restaurants & Leisure,Bottom 10%,Bottom 10%,31,41.87,59.75,48.07,44.48,42.23,49.12,22.3
Skechers,Household Goods & Apparel,Bottom 10%,Bottom 10%,37,39.31,49.02,45.71,47.28,42.55,45.4,20.01
Silgan Holdings,Building Materials & Packaging,Bottom 10%,Bottom 10%,24,40.94,52.66,37.02,46.38,41.22,52.84,32.22
Spectrum Brands Holdings,Personal Products,Bottom 10%,Bottom 10%,10,44.73,49.43,43.76,46.41,29.99,15.9,43.24
Stericycle,Commercial Support Services,Bottom 10%,Bottom 10%,35,39.67,53.47,31.35,48.21,27.4,52.84,38.28
Extended Stay America,Restaurants & Leisure,Bottom 10%,Bottom 10%,33,38.57,45.38,47.03,43.24,55.5,52.84,15.79
Transdigm Group,Aerospace & Defense,Bottom 10%,Bottom 10%,17,34.26,46.19,42.26,45.15,46.28,52.84,24.66
Treehouse Foods,Food,Bottom 10%,Bottom 10%,28,42.21,45.38,42.5,42.4,45.65,40.19,30.34
Torchmark,Insurance,Bottom 10%,Bottom 10%,42,38.57,42.76,47.48,44.33,54.17,52.84,31.59
Tempur Sealy,Household Goods & Apparel,Bottom 10%,Bottom 10%,34,39.48,53.07,46.75,44.43,44.94,52.84,25.76
Trinity Industries,Commercial Vehicles & Machinery,Bottom 10%,Bottom 10%,27,34.92,47.81,35.81,43.27,40.46,30.83,48.34
Transunion,Commercial Support Services,Bottom 10%,Bottom 10%,34,44.08,24.88,41.06,45.14,55.87,52.84,46.66
Tesla,Automobiles & Parts,Bottom 10%,Bottom 10%,15,30.0,63.19,41.22,58.62,19.17,37.55,27.19
Amerco,Retail,Bottom 10%,Bottom 10%,43,38.57,56.99,41.58,50.78,41.34,52.84,18.03
Umpqua Holdings,Banks,Bottom 10%,Bottom 10%,44,48.65,41.54,53.59,43.33,37.41,52.84,33.93
Urban Outfitters,Retail,Bottom 10%,Bottom 10%,41,43.02,53.17,49.98,47.53,48.22,52.84,18.6
Wabtec Corp,Commercial Vehicles & Machinery,Bottom 10%,Bottom 10%,25,41.34,51.59,41.57,44.68,48.46,52.84,32.04
Wendy's,Restaurants & Leisure,Bottom 10%,Bottom 10%,26,47.06,61.77,51.59,45.87,55.81,30.83,26.65
Weatherford,Energy Equipment & Services,Bottom 10%,Bottom 10%,13,42.71,53.47,47.93,41.48,15.22,52.84,40.46
Watsco,Building Materials & Packaging,Bottom 10%,Bottom 10%,27,38.57,44.16,43.03,45.63,47.4,52.84,19.22
Wynn Resorts,Restaurants & Leisure,Bottom 10%,Bottom 10%,28,34.11,53.88,54.07,48.94,39.45,31.27,38.44
United States Steel,Basic Resources,Bottom 10%,Bottom 10%,11,40.78,47.81,16.58,43.09,48.12,52.84,30.11
Zebra Technologies,Industrial Goods,Bottom 10%,Bottom 10%,39,47.79,50.61,37.72,45.13,33.08,36.47,42.02
